Year_Group,continent,Region,Population,Season,Climate,nb_medals,PIB_per_Capita
1991-2020,North America,Honduras,7837933.2727272725,Summer,Moderate climate (5 C-25 C),20.125,4020.950285714286
1991-2020,North America,Honduras,7837933.2727272725,Winter,Moderate climate (5 C-25 C),3.0,4020.950285714286
1991-2020,Europe,Hungary,10039009.121212121,Summer,Moderate climate (5 C-25 C),183.66666666666666,23151.735142857142
1991-2020,Europe,Hungary,10039009.121212121,Winter,Moderate climate (5 C-25 C),28.727272727272727,23151.735142857142
1991-2020,Europe,Iceland,310212.7272727273,Summer,Cold climate (<=5 C),19.181818181818183,41509.256571428574
1991-2020,Europe,Iceland,310212.7272727273,Winter,Cold climate (<=5 C),11.857142857142858,41509.256571428574
1991-2020,Asia,India,1180339146.6363637,Summer,Moderate climate (5 C-25 C),58.92857142857143,4293.755999999999
1991-2020,Asia,India,1180339146.6363637,Winter,Moderate climate (5 C-25 C),3.2857142857142856,4293.755999999999
1991-2020,Asia,Indonesia,236536156.36363637,Summer,Hot climate (>25 C),37.875,8461.221142857143
1991-2020,Asia,Iraq,30325424.545454547,Summer,Moderate climate (5 C-25 C),9.25,11431.111304347825
1991-2020,Europe,Ireland,4295586.03030303,Summer,Moderate climate (5 C-25 C),73.72727272727273,56067.849428571426
1991-2020,Europe,Ireland,4295586.03030303,Winter,Moderate climate (5 C-25 C),7.166666666666667,56067.849428571426
1991-2020,Asia,Israel,7263875.757575758,Summer,Moderate climate (5 C-25 C),61.125,30358.234857142856
1991-2020,Asia,Israel,7263875.757575758,Winter,Moderate climate (5 C-25 C),4.5,30358.234857142856
1991-2020,Europe,Italy,58422452.333333336,Summer,Moderate climate (5 C-25 C),280.0,35679.122
1991-2020,Europe,Italy,58422452.333333336,Winter,Moderate climate (5 C-25 C),143.9090909090909,35679.122
1991-2020,North America,Jamaica,2682626.4242424243,Summer,Hot climate (>25 C),67.375,8570.987714285715
1991-2020,North America,Jamaica,2682626.4242424243,Winter,Hot climate (>25 C),4.166666666666667,8570.987714285715
1991-2020,Asia,Japan,126661734.3030303,Summer,Moderate climate (5 C-25 C),310.5,35106.84114285714
1991-2020,Asia,Japan,126661734.3030303,Winter,Moderate climate (5 C-25 C),131.5,35106.84114285714
1991-2020,Asia,Jordan,7222429.787878788,Summer,Moderate climate (5 C-25 C),8.125,8299.356857142857
1991-2020,Asia,Kazakhstan,17222526.151515152,Summer,Moderate climate (5 C-25 C),135.28571428571428,18015.747352941176
1991-2020,Asia,Kazakhstan,17222526.151515152,Winter,Moderate climate (5 C-25 C),99.66666666666667,18015.747352941176
1991-2020,Africa,Kenya,38588774.39393939,Summer,Hot climate (>25 C),60.125,3351.7514285714287
1991-2020,Africa,Kenya,38588774.39393939,Winter,Hot climate (>25 C),1.3333333333333333,3351.7514285714287
1991-2020,Oceania,Kiribati,102599.54545454546,Summer,Hot climate (>25 C),2.8,1970.7728571428572
1991-2020,Asia,Kuwait,2838287.484848485,Summer,Hot climate (>25 C),19.285714285714285,54648.9196969697
1991-2020,Europe,Latvia,2197791.212121212,Summer,Moderate climate (5 C-25 C),40.916666666666664,19961.40588235294
1991-2020,Europe,Latvia,2197791.212121212,Winter,Moderate climate (5 C-25 C),49.8,19961.40588235294
1991-2020,Asia,Lebanon,4948700.060606061,Summer,Moderate climate (5 C-25 C),7.625,11320.9303125
1991-2020,Asia,Lebanon,4948700.060606061,Winter,Moderate climate (5 C-25 C),5.4,11320.9303125
1991-2020,Africa,Lesotho,2038608.9090909092,Summer,Moderate climate (5 C-25 C),6.0,2096.7280857142855
1991-2020,Africa,Liberia,3678636.0606060605,Summer,Hot climate (>25 C),4.714285714285714,1231.6411923076923
1991-2020,Africa,Libya,5949733.575757576,Summer,Moderate climate (5 C-25 C),5.25,24425.33742857143
1991-2020,Europe,Lithuania,3227679.121212121,Summer,Moderate climate (5 C-25 C),59.7,24942.003548387096
1991-2020,Europe,Lithuania,3227679.121212121,Winter,Moderate climate (5 C-25 C),14.5,24942.003548387096
1991-2020,Europe,Luxembourg,501116.42424242425,Summer,Moderate climate (5 C-25 C),36.4,90274.38228571428
1991-2020,Europe,Luxembourg,501116.42424242425,Winter,Moderate climate (5 C-25 C),3.2857142857142856,90274.38228571428
1991-2020,Africa,Madagascar,20854035.606060605,Summer,Moderate climate (5 C-25 C),9.625,1513.9557142857143
1991-2020,Africa,Madagascar,20854035.606060605,Winter,Moderate climate (5 C-25 C),2.0,1513.9557142857143
1991-2020,Africa,Malawi,14268726.090909092,Summer,Moderate climate (5 C-25 C),3.625,1152.3814285714286
1991-2020,Asia,Malaysia,26871914.87878788,Summer,Hot climate (>25 C),41.875,20196.473714285712
1991-2020,Asia,Maldives,354070.3333333333,Summer,Hot climate (>25 C),5.5,16366.34742857143
1991-2020,Africa,Mali,15176886.878787879,Summer,Hot climate (>25 C),8.625,1651.4259714285715
1991-2020,Europe,Malta,424053.30303030304,Summer,Moderate climate (5 C-25 C),7.9,31564.826857142856
1991-2020,Europe,Malta,424053.30303030304,Winter,Moderate climate (5 C-25 C),2.0,31564.826857142856
1991-2020,Oceania,Marshall Islands,48509.09090909091,Summer,Hot climate (>25 C),4.0,3573.5437931034485
1991-2020,Africa,Mauritania,3279754.8484848486,Summer,Hot climate (>25 C),2.75,4562.776
1991-2020,Africa,Mauritius,1211477.0909090908,Summer,Moderate climate (5 C-25 C),16.75,15599.244571428573
1991-2020,North America,Mexico,108574215.0,Summer,Moderate climate (5 C-25 C),97.0,16596.182285714287
1991-2020,North America,Mexico,108574215.0,Winter,Moderate climate (5 C-25 C),7.666666666666667,16596.182285714287
1991-2020,Europe,Moldova,2843139.6666666665,Summer,Moderate climate (5 C-25 C),31.0,7808.408529411765
1991-2020,Europe,Moldova,2843139.6666666665,Winter,Moderate climate (5 C-25 C),7.166666666666667,7808.408529411765
1991-2020,Asia,Mongolia,2697611.8181818184,Summer,Cold climate (<=5 C),33.75,7897.7119999999995
1991-2020,Asia,Mongolia,2697611.8181818184,Winter,Cold climate (<=5 C),3.7142857142857144,7897.7119999999995
1991-2020,Europe,Montenegro,615133.6666666666,Summer,Moderate climate (5 C-25 C),31.0,16674.75192307692
1991-2020,Europe,Montenegro,615133.6666666666,Winter,Moderate climate (5 C-25 C),2.5,16674.75192307692
1991-2020,Africa,Morocco,31274123.87878788,Summer,Moderate climate (5 C-25 C),51.75,6358.746857142857
1991-2020,Africa,Morocco,31274123.87878788,Winter,Moderate climate (5 C-25 C),9.666666666666666,6358.746857142857
1991-2020,Africa,Mozambique,22228490.515151516,Summer,Moderate climate (5 C-25 C),5.75,896.8534857142857
1991-2020,Asia,Myanmar,47810902.18181818,Summer,Moderate climate (5 C-25 C),5.0,3179.075857142857
1991-2020,Africa,Namibia,2087002.393939394,Summer,Moderate climate (5 C-25 C),11.0,7915.465714285714
1991-2020,Oceania,Nauru,10510.727272727272,Summer,Hot climate (>25 C),2.142857142857143,6985.431363636363
1991-2020,Asia,Nepal,25928779.606060605,Summer,,5.5,2384.2818857142856
1991-2020,Asia,Nepal,25928779.606060605,Winter,,1.2,2384.2818857142856
1991-2020,Europe,Netherlands,16413985.272727273,Summer,Moderate climate (5 C-25 C),226.8235294117647,44456.44485714286
1991-2020,Europe,Netherlands,16413985.272727273,Winter,Moderate climate (5 C-25 C),46.666666666666664,44456.44485714286
1991-2020,Oceania,New Zealand,4261272.7272727275,Summer,Moderate climate (5 C-25 C),117.5,31748.270857142856
1991-2020,Oceania,New Zealand,4261272.7272727275,Winter,Moderate climate (5 C-25 C),15.571428571428571,31748.270857142856
1991-2020,North America,Nicaragua,5537271.2727272725,Summer,Hot climate (>25 C),9.375,4455.49
1991-2020,Africa,Niger,15758417.515151516,Summer,Hot climate (>25 C),4.625,1041.7754571428572
1991-2020,Africa,Nigeria,157572112.3939394,Summer,Hot climate (>25 C),78.375,3916.765142857143
1991-2020,Europe,Norway,4809929.757575758,Summer,Cold climate (<=5 C),98.0,56519.2
1991-2020,Europe,Norway,4809929.757575758,Winter,Cold climate (<=5 C),122.72727272727273,56519.2
1991-2020,Asia,Oman,3082218.9393939395,Summer,Hot climate (>25 C),4.5,38807.78828571429
1991-2020,Asia,Pakistan,184045970.54545453,Summer,Moderate climate (5 C-25 C),20.625,4184.602857142857
1991-2020,Asia,Pakistan,184045970.54545453,Winter,Moderate climate (5 C-25 C),1.0,4184.602857142857
1991-2020,Oceania,Palau,18143.18181818182,Summer,Hot climate (>25 C),4.666666666666667,13022.185384615384
1991-2020,North America,Panama,3459683.4545454546,Summer,Hot climate (>25 C),7.555555555555555,18886.098
1991-2020,Oceania,Papua New Guinea,7064783.515151516,Summer,Moderate climate (5 C-25 C),10.0,2729.730285714286
1991-2020,South America,Paraguay,5555838.060606061,Summer,Moderate climate (5 C-25 C),12.75,9665.632
1991-2020,South America,Paraguay,5555838.060606061,Winter,Moderate climate (5 C-25 C),1.0,9665.632
1991-2020,South America,Peru,28367443.272727273,Summer,Moderate climate (5 C-25 C),22.363636363636363,9057.460857142858
1991-2020,South America,Peru,28367443.272727273,Winter,Moderate climate (5 C-25 C),5.0,9057.460857142858
1991-2020,Asia,Philippines,91001039.3030303,Summer,Hot climate (>25 C),18.583333333333332,5953.4554285714285
1991-2020,Asia,Philippines,91001039.3030303,Winter,Hot climate (>25 C),1.5,5953.4554285714285
1991-2020,Europe,Poland,38094473.333333336,Summer,Moderate climate (5 C-25 C),197.84615384615384,21809.554285714286
1991-2020,Europe,Poland,38094473.333333336,Winter,Moderate climate (5 C-25 C),66.63636363636364,21809.554285714286
1991-2020,Europe,Portugal,10329854.0,Summer,Moderate climate (5 C-25 C),69.64285714285714,26857.39742857143
1991-2020,Europe,Portugal,10329854.0,Winter,Moderate climate (5 C-25 C),2.4,26857.39742857143
1991-2020,North America,Puerto Rico,3603099.3333333335,Summer,Hot climate (>25 C),52.625,29206.435714285715
1991-2020,North America,Puerto Rico,3603099.3333333335,Winter,Hot climate (>25 C),6.333333333333333,29206.435714285715
1991-2020,Asia,Qatar,1409748.8484848484,Summer,Hot climate (>25 C),21.25,105005.11142857143
1991-2020,Europe,Romania,20986408.424242426,Summer,Moderate climate (5 C-25 C),138.53846153846155,18932.460285714285
1991-2020,Europe,Romania,20986408.424242426,Winter,Moderate climate (5 C-25 C),36.0,18932.460285714285
1991-2020,Africa,Rwanda,9868363.848484848,Summer,Moderate climate (5 C-25 C),5.875,1431.6044857142856
1991-2020,Oceania,Samoa,191100.18181818182,Summer,Hot climate (>25 C),7.0,4795.168571428571
1991-2020,Europe,San Marino,30049.484848484848,Summer,Moderate climate (5 C-25 C),7.0,66758.02
1991-2020,Europe,San Marino,30049.484848484848,Winter,Moderate climate (5 C-25 C),2.6666666666666665,66758.02
1991-2020,Asia,Saudi Arabia,22186025.727272727,Summer,Hot climate (>25 C),21.875,54058.548285714285
1991-2020,Africa,Senegal,12262958.818181818,Summer,Hot climate (>25 C),21.25,2678.5105714285714
1991-2020,Africa,Senegal,12262958.818181818,Winter,Hot climate (>25 C),4.0,2678.5105714285714
1991-2020,Europe,Serbia,7300413.7272727275,Summer,Moderate climate (5 C-25 C),89.3076923076923,15464.603461538461
1991-2020,Europe,Serbia,7300413.7272727275,Winter,Moderate climate (5 C-25 C),16.88888888888889,15464.603461538461
1991-2020,Africa,Seychelles,87167.63636363637,Summer,Hot climate (>25 C),10.125,21246.544857142857
1991-2020,Africa,Sierra Leone,5873959.424242424,Summer,Hot climate (>25 C),6.5,1247.4268285714286
1991-2020,Asia,Singapore,4633760.212121212,Summer,Hot climate (>25 C),31.375,71239.35885714286
1991-2020,Europe,Slovenia,2031568.121212121,Summer,Moderate climate (5 C-25 C),71.375,28536.81117647059
1991-2020,Europe,Slovenia,2031568.121212121,Winter,Moderate climate (5 C-25 C),86.28571428571429,28536.81117647059
1991-2020,Oceania,Solomon Islands,534614.5757575758,Summer,Hot climate (>25 C),2.75,1923.6060000000002
1991-2020,Africa,Somalia,11472494.575757576,Summer,Hot climate (>25 C),2.2857142857142856,1686.4835714285714
1991-2020,Africa,South Africa,51505648.63636363,Summer,Moderate climate (5 C-25 C),98.9375,11496.14542857143
1991-2020,Africa,South Africa,51505648.63636363,Winter,Moderate climate (5 C-25 C),4.2,11496.14542857143
1991-2020,Africa,South Sudan,8253064.333333333,Summer,Hot climate (>25 C),2.5,919.1416
1991-2020,Europe,Spain,43891108.84848485,Summer,Moderate climate (5 C-25 C),280.6923076923077,31273.013714285713
1991-2020,Europe,Spain,43891108.84848485,Winter,Moderate climate (5 C-25 C),28.25,31273.013714285713
1991-2020,Asia,Sri Lanka,19993016.09090909,Summer,Hot climate (>25 C),12.375,7789.9271874999995
1991-2020,Africa,Sudan,34107725.39393939,Summer,Hot climate (>25 C),5.5,3533.3948571428573
1991-2020,South America,Suriname,524704.3333333334,Summer,Hot climate (>25 C),6.125,12821.210285714285
1991-2020,Europe,Sweden,9366630.333333334,Summer,Cold climate (<=5 C),211.72222222222223,41194.374571428576
1991-2020,Europe,Sweden,9366630.333333334,Winter,Cold climate (<=5 C),109.72727272727273,41194.374571428576
1991-2020,Europe,Switzerland,7714279.757575758,Summer,Moderate climate (5 C-25 C),120.52631578947368,55872.492
1991-2020,Europe,Switzerland,7714279.757575758,Winter,Moderate climate (5 C-25 C),113.0,55872.492
1991-2020,Asia,Tajikistan,7509491.181818182,Summer,Cold climate (<=5 C),10.0,2518.5155
1991-2020,Asia,Tajikistan,7509491.181818182,Winter,Cold climate (<=5 C),2.5,2518.5155
1991-2020,Africa,Tanzania,43306595.93939394,Summer,Moderate climate (5 C-25 C),6.75,1974.2240285714286
1991-2020,Asia,Thailand,65982541.72727273,Summer,Hot climate (>25 C),55.375,12706.913714285714
1991-2020,Asia,Thailand,65982541.72727273,Winter,Hot climate (>25 C),2.0,12706.913714285714
1991-2020,Asia,Timor-Leste,1041333.7272727273,Summer,Moderate climate (5 C-25 C),2.2,2688.867307692308
1991-2020,Asia,Timor-Leste,1041333.7272727273,Winter,Moderate climate (5 C-25 C),1.0,2688.867307692308
1991-2020,Africa,Togo,6368136.303030303,Summer,Hot climate (>25 C),5.125,1711.7105714285715
1991-2020,Africa,Togo,6368136.303030303,Winter,Hot climate (>25 C),3.0,1711.7105714285715
1991-2020,Oceania,Tonga,104309.15151515152,Summer,Hot climate (>25 C),4.625,4530.172285714286
1991-2020,Oceania,Tonga,104309.15151515152,Winter,Hot climate (>25 C),1.0,4530.172285714286
1991-2020,Africa,Tunisia,10480542.272727273,Summer,Moderate climate (5 C-25 C),54.0,8892.965428571428
1991-2020,Asia,Turkmenistan,5393439.03030303,Summer,Moderate climate (5 C-25 C),9.142857142857142,11081.049117647059
1991-2020,Africa,Uganda,30952552.303030305,Summer,Moderate climate (5 C-25 C),15.375,1987.047742857143
1991-2020,Europe,Ukraine,47509039.72727273,Summer,Moderate climate (5 C-25 C),314.85714285714283,8723.447058823529
1991-2020,Europe,Ukraine,47509039.72727273,Winter,Moderate climate (5 C-25 C),96.66666666666667,8723.447058823529
1991-2020,Asia,United Arab Emirates,5849715.787878788,Summer,Hot climate (>25 C),12.75,85598.19542857143
1991-2020,Europe,United Kingdom,61961270.60606061,Summer,Moderate climate (5 C-25 C),372.5263157894737,36226.80285714286
1991-2020,Europe,United Kingdom,61961270.60606061,Winter,Moderate climate (5 C-25 C),54.45454545454545,36226.80285714286
1991-2020,North America,United States,298924963.93939394,Summer,Moderate climate (5 C-25 C),558.578947368421,49084.108857142855
1991-2020,North America,United States,298924963.93939394,Winter,Moderate climate (5 C-25 C),211.9090909090909,49084.108857142855
1991-2020,South America,Uruguay,3295594.1515151514,Summer,Moderate climate (5 C-25 C),19.916666666666668,16915.982571428573
1991-2020,South America,Uruguay,3295594.1515151514,Winter,Moderate climate (5 C-25 C),1.0,16915.982571428573
1991-2020,Asia,Uzbekistan,27641001.333333332,Summer,Moderate climate (5 C-25 C),78.42857142857143,5323.414411764706
1991-2020,Asia,Uzbekistan,27641001.333333332,Winter,Moderate climate (5 C-25 C),5.166666666666667,5323.414411764706
1991-2020,Oceania,Vanuatu,226299.33333333334,Summer,Moderate climate (5 C-25 C),4.0,2217.4122857142856
1991-2020,Africa,Zambia,13242091.393939395,Summer,Moderate climate (5 C-25 C),10.75,2711.710857142857
1991-2020,Africa,Zimbabwe,13064842.606060605,Summer,Moderate climate (5 C-25 C),16.88888888888889,2305.421428571429
1991-2020,Africa,Zimbabwe,13064842.606060605,Winter,Moderate climate (5 C-25 C),2.0,2305.421428571429
