Year_Group,continent,Region,Population,Season,Climate,nb_medals,PIB_per_Capita
1945-1990,North America,Guatemala,6251679.096774193,Summer,Moderate climate (5 C-25 C),34.42857142857143,2953.2663636363636
1945-1990,North America,Guatemala,6251679.096774193,Winter,Moderate climate (5 C-25 C),15.0,2953.2663636363636
1945-1990,Africa,Guinea,4743852.70967742,Summer,Hot climate (>25 C),8.25,930.583
1945-1990,South America,Guyana,713926.4193548387,Summer,Hot climate (>25 C),6.1,2681.09
1945-1990,North America,Haiti,5187556.387096774,Summer,Moderate climate (5 C-25 C),6.0,1917.890909090909
1945-1990,North America,Honduras,3317301.2258064514,Summer,Moderate climate (5 C-25 C),13.25,1694.18
1945-1990,Europe,Hungary,10432313.774193548,Summer,Moderate climate (5 C-25 C),306.0,8993.298181818182
1945-1990,Europe,Hungary,10432313.774193548,Winter,Moderate climate (5 C-25 C),14.727272727272727,8993.298181818182
1945-1990,Europe,Iceland,216664.09677419355,Summer,Cold climate (<=5 C),20.0,15314.82
1945-1990,Europe,Iceland,216664.09677419355,Winter,Cold climate (<=5 C),11.8,15314.82
1945-1990,Asia,India,626462337.7419355,Summer,Moderate climate (5 C-25 C),64.0,873.5715454545455
1945-1990,Asia,India,626462337.7419355,Winter,Moderate climate (5 C-25 C),2.3333333333333335,873.5715454545455
1945-1990,Asia,Indonesia,133410462.32258065,Summer,Hot climate (>25 C),18.0,2011.7490909090911
1945-1990,Europe,Ireland,3190633.35483871,Summer,Moderate climate (5 C-25 C),56.45454545454545,10183.506363636365
1945-1990,Asia,Israel,3407613.5483870967,Summer,Moderate climate (5 C-25 C),30.77777777777778,10253.68
1945-1990,Europe,Italy,54613106.03225806,Summer,Moderate climate (5 C-25 C),311.0,15170.143636363635
1945-1990,Europe,Italy,54613106.03225806,Winter,Moderate climate (5 C-25 C),83.18181818181819,15170.143636363635
1945-1990,North America,Jamaica,2019591.6451612904,Summer,Hot climate (>25 C),36.5,4096.97
1945-1990,North America,Jamaica,2019591.6451612904,Winter,Hot climate (>25 C),6.0,4096.97
1945-1990,Asia,Japan,109837096.77419356,Summer,Moderate climate (5 C-25 C),308.44444444444446,14181.718181818182
1945-1990,Asia,Japan,109837096.77419356,Winter,Moderate climate (5 C-25 C),79.3,14181.718181818182
1945-1990,Asia,Jordan,1962641.7096774194,Summer,Moderate climate (5 C-25 C),10.0,4961.456363636364
1945-1990,Africa,Kenya,14124037.677419355,Summer,Hot climate (>25 C),53.714285714285715,1468.8245454545454
1945-1990,Asia,Lebanon,2669855.0,Summer,Moderate climate (5 C-25 C),18.3,7895.976363636364
1945-1990,Asia,Lebanon,2669855.0,Winter,Moderate climate (5 C-25 C),5.818181818181818,7895.976363636364
1945-1990,Africa,Lesotho,1232120.322580645,Summer,Moderate climate (5 C-25 C),5.0,653.0164545454546
1945-1990,Africa,Libya,2794754.4516129033,Summer,Moderate climate (5 C-25 C),15.333333333333334,24183.65818181818
1945-1990,Europe,Luxembourg,351015.48387096776,Summer,Moderate climate (5 C-25 C),39.81818181818182,24921.495454545457
1945-1990,Europe,Luxembourg,351015.48387096776,Winter,Moderate climate (5 C-25 C),3.0,24921.495454545457
1945-1990,Africa,Madagascar,8044840.870967742,Summer,Moderate climate (5 C-25 C),9.2,1077.8754545454544
1945-1990,Africa,Malawi,5755088.354838709,Summer,Moderate climate (5 C-25 C),21.0,570.0888181818182
1945-1990,Asia,Malaysia,11986331.548387097,Summer,Hot climate (>25 C),32.111111111111114,4955.06
1945-1990,Asia,Maldives,147446.5806451613,Summer,Hot climate (>25 C),9.0,3091.5245454545457
1945-1990,Africa,Mali,7021481.354838709,Summer,Hot climate (>25 C),4.5,588.0654545454546
1945-1990,Europe,Malta,320246.87096774194,Summer,Moderate climate (5 C-25 C),6.428571428571429,8147.580909090909
1945-1990,Africa,Mauritania,1315336.3870967743,Summer,Hot climate (>25 C),4.5,2861.4
1945-1990,Africa,Mauritius,886586.2580645161,Summer,Moderate climate (5 C-25 C),9.0,3331.161818181818
1945-1990,North America,Mexico,59168275.35483871,Summer,Moderate climate (5 C-25 C),158.63636363636363,7866.426363636364
1945-1990,North America,Mexico,59168275.35483871,Winter,Moderate climate (5 C-25 C),12.0,7866.426363636364
1945-1990,Asia,Mongolia,1517802.6451612904,Summer,Cold climate (<=5 C),40.666666666666664,3603.41
1945-1990,Asia,Mongolia,1517802.6451612904,Winter,Cold climate (<=5 C),11.833333333333334,3603.41
1945-1990,Africa,Morocco,17522290.677419353,Summer,Moderate climate (5 C-25 C),38.42857142857143,2198.5154545454543
1945-1990,Africa,Morocco,17522290.677419353,Winter,Moderate climate (5 C-25 C),7.0,2198.5154545454543
1945-1990,Africa,Mozambique,9821583.677419355,Summer,Moderate climate (5 C-25 C),14.0,230.59563636363637
1945-1990,Asia,Nepal,14221599.516129032,Summer,,8.166666666666666,622.181
1945-1990,Europe,Netherlands,13470773.064516129,Summer,Moderate climate (5 C-25 C),154.45454545454547,15817.283636363636
1945-1990,Europe,Netherlands,13470773.064516129,Winter,Moderate climate (5 C-25 C),23.181818181818183,15817.283636363636
1945-1990,Oceania,New Zealand,2952809.6774193547,Summer,Moderate climate (5 C-25 C),70.54545454545455,12664.628181818181
1945-1990,Oceania,New Zealand,2952809.6774193547,Winter,Moderate climate (5 C-25 C),11.375,12664.628181818181
1945-1990,Africa,Niger,5529654.419354838,Summer,Hot climate (>25 C),3.4,725.1082727272727
1945-1990,Africa,Nigeria,66561299.838709675,Summer,Hot climate (>25 C),35.888888888888886,1827.27
1945-1990,Europe,Norway,3959179.2258064514,Summer,Cold climate (<=5 C),94.6,21639.859090909093
1945-1990,Europe,Norway,3959179.2258064514,Winter,Cold climate (<=5 C),92.0,21639.859090909093
1945-1990,Asia,Oman,919678.0322580645,Summer,Hot climate (>25 C),17.5,17454.478181818184
