Year_Group,continent,Region,Population,Climate,nb_medals,PIB_per_Capita
1945-1990,Africa,Malawi,5755088.354838709,Moderate climate (5 C-25 C),21.0,570.0888181818182
1945-1990,Asia,Malaysia,11986331.548387097,Hot climate (>25 C),32.111111111111114,4955.06
1945-1990,Asia,Maldives,147446.5806451613,Hot climate (>25 C),9.0,3091.5245454545457
1945-1990,Africa,Mali,7021481.354838709,Hot climate (>25 C),4.5,588.0654545454546
1945-1990,Europe,Malta,320246.87096774194,Moderate climate (5 C-25 C),6.428571428571429,8147.580909090909
1945-1990,Africa,Mauritania,1315336.3870967743,Hot climate (>25 C),4.5,2861.4
1945-1990,Africa,Mauritius,886586.2580645161,Moderate climate (5 C-25 C),9.0,3331.161818181818
1945-1990,North America,Mexico,59168275.35483871,Moderate climate (5 C-25 C),136.07692307692307,7866.426363636364
1945-1990,Asia,Mongolia,1517802.6451612904,Cold climate (<=5 C),26.25,3603.41
1945-1990,Africa,Morocco,17522290.677419353,Moderate climate (5 C-25 C),29.0,2198.5154545454543
1945-1990,Africa,Mozambique,9821583.677419355,Moderate climate (5 C-25 C),14.0,230.59563636363637
1945-1990,Asia,Nepal,14221599.516129032,,8.166666666666666,622.181
1945-1990,Europe,Netherlands,13470773.064516129,Moderate climate (5 C-25 C),88.81818181818181,15817.283636363636
1945-1990,Oceania,New Zealand,2952809.6774193547,Moderate climate (5 C-25 C),45.63157894736842,12664.628181818181
1945-1990,Africa,Niger,5529654.419354838,Hot climate (>25 C),3.4,725.1082727272727
1945-1990,Africa,Nigeria,66561299.838709675,Hot climate (>25 C),35.888888888888886,1827.27
1945-1990,Europe,Norway,3959179.2258064514,Cold climate (<=5 C),93.23809523809524,21639.859090909093
1945-1990,Asia,Oman,919678.0322580645,Hot climate (>25 C),17.5,17454.478181818184
1945-1990,Asia,Pakistan,73965481.5483871,Moderate climate (5 C-25 C),40.5,1450.7890909090909
1945-1990,North America,Panama,1750688.4193548388,Hot climate (>25 C),9.11111111111111,4649.350909090909
1945-1990,Oceania,Papua New Guinea,2851980.2258064514,Moderate climate (5 C-25 C),12.0,1345.129090909091
1945-1990,South America,Paraguay,2789262.2258064514,Moderate climate (5 C-25 C),8.2,4425.932727272728
1945-1990,South America,Peru,15618747.516129032,Moderate climate (5 C-25 C),31.8,3585.953636363636
1945-1990,Asia,Philippines,43510511.29032258,Hot climate (>25 C),41.25,2266.004545454545
1945-1990,Europe,Poland,34126851.03225806,Moderate climate (5 C-25 C),151.61904761904762,5640.627272727273
1945-1990,Europe,Portugal,9331919.258064516,Moderate climate (5 C-25 C),49.84615384615385,8806.59909090909
1945-1990,North America,Puerto Rico,2972367.4838709678,Hot climate (>25 C),40.46153846153846,9720.514545454545
1945-1990,Asia,Qatar,209109.2258064516,Hot climate (>25 C),19.5,71065.44909090908
1945-1990,Europe,Romania,21064566.48387097,Moderate climate (5 C-25 C),118.15,7070.647272727272
1945-1990,Africa,Rwanda,4819585.0,Moderate climate (5 C-25 C),7.0,522.4686363636364
1945-1990,Asia,Saudi Arabia,5311513.064516129,Hot climate (>25 C),22.0,37324.49636363636
1945-1990,Africa,Senegal,5258781.806451613,Hot climate (>25 C),27.0,1367.800909090909
1945-1990,Africa,Seychelles,57512.709677419356,Hot climate (>25 C),18.0,5857.921818181818
1945-1990,Africa,Sierra Leone,3047766.0967741935,Hot climate (>25 C),16.5,915.877909090909
1945-1990,Asia,Singapore,2291764.35483871,Hot climate (>25 C),14.222222222222221,15767.847272727273
1945-1990,Oceania,Solomon Islands,215217.2258064516,Hot climate (>25 C),4.0,1074.1138181818183
1945-1990,Africa,South Africa,26723668.93548387,Moderate climate (5 C-25 C),63.6,6224.646363636363
1945-1990,Europe,Spain,35355035.67741936,Moderate climate (5 C-25 C),84.86363636363636,10950.038181818181
1945-1990,Asia,Sri Lanka,13364421.0,Hot climate (>25 C),6.0,1660.2345454545457
1945-1990,Africa,Sudan,14640027.064516129,Hot climate (>25 C),13.6,1329.07
1945-1990,South America,Suriname,364889.32258064515,Hot climate (>25 C),5.0,6979.22
