nom,ID,pays,discipline,année,médaille,saison
Yuliya Anatolyevna Chepalova,39668,Russia,Cross Country Skiing,1998,6,Winter
Albina Khamitovna Akhatova,2934,Russia,Biathlon,1998,5,Winter
Olga Alekseyevna Zaytseva (-Augustin),268151,Russia,Biathlon,2006,4,Winter
Yevgeny Viktorovich Plyushchenko,190226,Russia,Figure Skating,2002,4,Winter
Sergey Petrovich Tarasov,236549,Russia,Biathlon,1994,4,Winter
Olga Valeryevna Pylyova-Medvedtseva (Zamorozova-),194651,Russia,Biathlon,2002,3,Winter
Albert Mikhaylovich Demchenko,53472,Russia,Luge,2006,3,Winter
Maksim Mikhaylovich Vylegzhanin,255191,Russia,Cross Country Skiing,2014,3,Winter
Svetlana Irekovna Ishmuratova,103849,Russia,Biathlon,2002,3,Winter
Olga Valeryevna Danilova,49030,Russia,Cross Country Skiing,1998,3,Winter
"Verena ""Vreni"" Schneider",213662,Switzerland,Alpine Skiing,1988,5,Winter
Simon Ammann,6172,Switzerland,Ski Jumping,2002,4,Winter
Maria Walliser (-Anesini),256106,Switzerland,Alpine Skiing,1984,3,Winter
Dario Alonzo Cologna,43618,Switzerland,Cross Country Skiing,2010,3,Winter
Hippolyt Marcel Kempf,115785,Switzerland,Nordic Combined,1988,3,Winter
Marie-Theres Nadig,167269,Switzerland,Alpine Skiing,1972,3,Winter
Karl Molitor,161679,Switzerland,Alpine Skiing,1948,2,Winter
Philipp Schoch,213739,Switzerland,Snowboarding,2002,2,Winter
Pirmin Zurbriggen,270876,Switzerland,Alpine Skiing,1988,2,Winter
"Riccardo ""Bibi"" Torriani",242195,Switzerland,Ice Hockey,1928,2,Winter
