nom,ID,pays,discipline,année,médaille,saison
Amy Joy Williams,260892,Great Britain,Skeleton,2010,1,Winter
Amy Nixon (-Westlund),172335,Canada,Curling,2006,1,Winter
An Sang-Mi,6405,South Korea,Short Track Speed Skating,1998,1,Winter
An Yulong,6433,China,Short Track Speed Skating,1998,3,Winter
Anastasia Vladimirovna Kuzmina (Shipulina-),129848,Slovakia,Biathlon,2010,3,Winter
Anders Aukland,10946,Norway,Cross Country Skiing,2002,1,Winter
Anders Bardal,14512,Norway,Ski Jumping,2010,2,Winter
Anders Jacobsen,105112,Norway,Ski Jumping,2010,1,Winter
Anders Niclas Hvelid,92239,Sweden,Ice Hockey,2006,1,Winter
Anders Patrik Berglund,19950,Sweden,Ice Hockey,2014,1,Winter
Anders Per-Johan Axelsson,11299,Sweden,Ice Hockey,2006,1,Winter
Andr Florschtz,70597,Germany-1,Luge,2006,1,Winter
Andr Lange,131975,Germany-2,Bobsleigh,2002,5,Winter
Andrea Fischbacher,69655,Austria,Alpine Skiing,2010,1,Winter
Andrea Henkel (-Burke),94081,Germany,Biathlon,2002,4,Winter
Andrea Huber,100195,Switzerland,Cross Country Skiing,2002,1,Winter
Andrea Kilbourne (-Hill),117992,United States,Ice Hockey,2002,1,Winter
Andrea Tagwerker,234903,Austria,Luge,1994,1,Winter
"Andreas ""Andi"" Goldberger",80954,Austria,Ski Jumping,1994,2,Winter
"Andreas ""Andi"" Schwaller",214762,Switzerland,Curling,2002,1,Winter
"Andreas ""Sonny"" Schnbchler",213891,Switzerland,Freestyle Skiing,1994,1,Winter
Andreas Felder,67537,Austria,Ski Jumping,1992,1,Winter
Andreas Kofler,122488,Austria,Ski Jumping,2006,3,Winter
Andreas Linger,140045,Austria-1,Luge,2006,3,Winter
Andreas Matt,152716,Austria,Freestyle Skiing,2010,1,Winter
Andreas Schaad,212138,Switzerland,Nordic Combined,1994,1,Winter
Andreas Schifferer,212791,Austria,Alpine Skiing,2002,1,Winter
Andreas Schltter,213095,Germany,Cross Country Skiing,2002,2,Winter
Andreas Wank,256970,Germany,Ski Jumping,2010,2,Winter
Andreas Wellinger,258664,Germany,Ski Jumping,2014,1,Winter
Andreas Widhlzl,260046,Austria,Ski Jumping,1998,3,Winter
"Andrew Alexander ""Andy"" Gabel",74375,United States,Short Track Speed Skating,1994,1,Winter
Andrew John Murtha,166471,Australia,Short Track Speed Skating,1994,1,Winter
Andrew Weibrecht,258219,United States,Alpine Skiing,2010,2,Winter
Andrey Nikolayevich Kovalenko,125750,Unified Team,Ice Hockey,1992,2,Winter
Andrey Valentinovich Khomutov,117233,Unified Team,Ice Hockey,1992,1,Winter
Andrey Vasilyevich Nikolishin,171702,Russia,Ice Hockey,2002,1,Winter
Andrey Viktorovich Trefilov,243142,Unified Team,Ice Hockey,1992,2,Winter
Andris ics,219316,Latvia-1,Luge,2010,3,Winter
Andrus Veerpalu,250854,Estonia,Cross Country Skiing,2002,3,Winter
Anette Charlotte Norberg,172825,Sweden,Curling,2006,2,Winter
Anfisa Anatolyevna Reztsova (Romanova-),199687,Unified Team,Biathlon,1992,3,Winter
Angela Cutrone,47468,Canada,Short Track Speed Skating,1992,1,Winter
Angela Frautschi,72550,Switzerland,Ice Hockey,2014,1,Winter
Angela Marie Ruggiero,205901,United States,Ice Hockey,1998,4,Winter
Angelika Neuner,170123,Austria,Luge,1992,2,Winter
Anita Moen-Guidon (-Moen Bonden),161073,Norway,Cross Country Skiing,1994,5,Winter
Anita Wachter (-Salzgeber),255254,Austria,Alpine Skiing,1992,2,Winter
Anja Huber (-Selbach),100197,Germany,Skeleton,2010,1,Winter
Anja Schneiderheinze (-Stckel),213683,Germany-1,Bobsleigh,2006,1,Winter
Anja Sofia Tess Prson,182620,Sweden,Alpine Skiing,2002,6,Winter
Anja Stiefel,229470,Switzerland,Ice Hockey,2014,1,Winter
Anke Baier-Loef,12608,Germany,Speed Skating,1994,1,Winter
Anke Karstens,113999,Germany,Snowboarding,2014,1,Winter
Ann Elen Skjelbreid,222248,Norway,Biathlon,1998,2,Winter
Ann Kristin Aafedt Flatland,70193,Norway,Biathlon,2014,1,Winter
Ann-Louise Carina Edstrand,61419,Sweden,Ice Hockey,2002,2,Winter
Anna Christina Andersson,6933,Sweden,Ice Hockey,2002,1,Winter
"Anna Christine ""Anni"" Friesinger-Postma",73209,Germany,Speed Skating,1998,5,Winter
Anna Fenninger (-Veith),67764,Austria,Alpine Skiing,2014,2,Winter
Anna Helene Ottosson (-Blixth),179190,Sweden,Alpine Skiing,2006,1,Winter
Anna Ida Holmlund,97847,Sweden,Freestyle Skiing,2014,1,Winter
Anna Ivanovna Bogaly-Titovets,24246,Russia,Biathlon,2006,2,Winter
