nom,ID,pays,discipline,année,médaille,saison
Aleksey Gennadyevich Grishin,84780,Belarus,Freestyle Skiing,2002,2,Winter
Aleksey Ivanovich Kuznetsov,129874,Soviet Union,Cross Country Skiing,1960,1,Winter
Aleksey Ivanovich Voyevoda,254850,Russia-1,Bobsleigh,2006,4,Winter
Aleksey Konstantinovich Yagudin,264119,Russia,Figure Skating,2002,1,Winter
Aleksey Mikhaylovich Guryshev,86810,Soviet Union,Ice Hockey,1956,1,Winter
Aleksey Nikolayevich Seliverstov,216092,Russia-1,Bobsleigh,2006,1,Winter
Aleksey Nikolayevich Ulanov,246080,Soviet Union-1,Figure Skating,1972,1,Winter
Aleksey Nikolayevich Zhitnik,269326,Unified Team,Ice Hockey,1992,2,Winter
Aleksey Petrovich Aydarov,11366,Belarus,Biathlon,1998,1,Winter
Aleksey Valeryevich Yashin,265111,Russia,Ice Hockey,1998,2,Winter
Aleksey Vasilyevich Gusarov,86817,Soviet Union,Ice Hockey,1988,2,Winter
Aleksey Viktorovich Kasatonov,114157,Soviet Union,Ice Hockey,1980,3,Winter
Aleksey Vyacheslavovich Kovalyov,125790,Unified Team,Ice Hockey,1992,2,Winter
Aleksey Yevgenyevich Petukhov,187595,Russia,Cross Country Skiing,2010,1,Winter
Aleksey Yevgenyevich Urmanov,246649,Russia,Figure Skating,1994,1,Winter
Aleksey Yuryevich Zhamnov,268670,Unified Team,Ice Hockey,1992,3,Winter
Alenka Dovan,58161,Slovenia,Alpine Skiing,1994,1,Winter
Alessandro Pittin,189671,Italy,Nordic Combined,2010,1,Winter
Alevtina Pavlovna Kolchina (Leontyeva-),122947,Soviet Union,Cross Country Skiing,1956,5,Winter
Alevtina Sergeyevna Olyunina-Smirnova (-Panarina),177084,Soviet Union,Cross Country Skiing,1972,2,Winter
Alex Baumann,16280,Switzerland-1,Bobsleigh,2014,1,Winter
Alex Deibold,52679,United States,Snowboarding,2014,1,Winter
Alex Izykowski,104758,United States,Short Track Speed Skating,2006,1,Winter
"Alexander ""Alex"" Pietrangelo",188626,Canada,Ice Hockey,2014,1,Winter
"Alexander ""Sandy"" Archer",8953,Great Britain,Ice Hockey,1936,1,Winter
"Alexander Brengle ""Alex"" Hurd",101109,Canada,Speed Skating,1932,2,Winter
Alexander Lennart Steen,228171,Sweden,Ice Hockey,2014,1,Winter
Alexander Rdiger,202358,Germany-1,Bobsleigh,2010,1,Winter
Alexander Resch,199257,Germany-2,Luge,2002,2,Winter
Alexander Whitmore Colquhoun Richardson,200139,Great Britain-1,Bobsleigh,1924,1,Winter
"Alexandra ""Alex"" Carpenter",35912,United States,Ice Hockey,2014,1,Winter
Alexandra Meissnitzer,155953,Austria,Alpine Skiing,1998,3,Winter
"Alexandra Pauline ""Sasha"" Cohen",43199,United States,Figure Skating,2006,1,Winter
"Alexandre ""Alex"" Bilodeau",21847,Canada,Freestyle Skiing,2010,2,Winter
"Alexandrea Andrea ""Alex"" Coomber (Hamilton-)",44409,Great Britain,Skeleton,2002,1,Winter
Alexis Pinturault,189274,France,Alpine Skiing,2014,1,Winter
Alf Ivar Eriksen,64288,Norway,Speed Skating,1968,1,Winter
Alf Petter Hugsted,100649,Norway,Ski Jumping,1948,1,Winter
Alf Steen Andersen,6591,Norway,Ski Jumping,1928,1,Winter
Alf Tomas Jonsson,110449,Sweden,Ice Hockey,1980,2,Winter
Alf Tommy Samuelsson,209284,Sweden,Ice Hockey,1980,2,Winter
Alfons Julen,111154,Switzerland,Military Ski Patrol,1924,1,Winter
"Alfred ""Freddy"" Mansveld",148735,Belgium,Bobsleigh,1948,1,Winter
"Alfred ""Fredel"" Klin",112262,Switzerland,Cross Country Skiing,1972,1,Winter
"Alfred ""Fredy"" Bieler",21561,Switzerland,Ice Hockey,1948,1,Winter
Alfred Aufdenblatten,10854,Switzerland,Military Ski Patrol,1924,1,Winter
Alfred Berger,19795,Austria,Figure Skating,1924,1,Winter
Alfred Heinrich,93440,Germany,Ice Hockey,1932,1,Winter
Alfred Iosifovich Kuchevsky,128287,Soviet Union,Ice Hockey,1956,2,Winter
Alfred Matt,152714,Austria,Alpine Skiing,1968,1,Winter
Alfred Neveu,170200,Switzerland-1,Bobsleigh,1924,1,Winter
Alfred Schlppi,212968,Switzerland-1,Bobsleigh,1924,1,Winter
Algimantas alna,208771,Soviet Union,Biathlon,1984,1,Winter
Alina Mller,165341,Switzerland,Ice Hockey,2014,1,Winter
Alisa Peta Camplin (-Warner),34483,Australia,Freestyle Skiing,2002,2,Winter
Aljona Sawtchenko,211804,Germany-1,Figure Skating,2010,2,Winter
Alla Petrovna Tsuper,244476,Belarus,Freestyle Skiing,2014,1,Winter
"Allan ""Al"" MacInnis",145425,Canada,Ice Hockey,2002,1,Winter
"Allan Ruggles ""Al"" Purvis",194408,Canada,Ice Hockey,1952,1,Winter
Allar Levandi,137471,Soviet Union,Nordic Combined,1988,1,Winter
"Allen Alfred ""Al"" Van",247904,United States,Ice Hockey,1952,1,Winter
"Allen Gerald ""Gerry"" Pinder",189006,Canada,Ice Hockey,1968,1,Winter
Allin Paul Savage,211456,Canada,Curling,1998,1,Winter
Allison Baver,16485,United States,Short Track Speed Skating,2010,1,Winter
"Allison Jaime ""A. J."" Mleczko (-Griswold)",160788,United States,Ice Hockey,1998,2,Winter
Alois Klin,112256,Switzerland,Cross Country Skiing,1972,1,Winter
Alois Klin,112251,Switzerland,Nordic Combined,1968,1,Winter
Alois Schloder,213060,West Germany,Ice Hockey,1976,1,Winter
Alphonse Albert LaCroix,130608,United States,Ice Hockey,1924,1,Winter
Alv Gjestvang,80118,Norway,Speed Skating,1956,2,Winter
Alyona Igorevna Zavarzina,268063,Russia,Snowboarding,2014,1,Winter
Alyona Viktorovna Sidko,219377,Russia,Cross Country Skiing,2006,1,Winter
"Alyson ""Aly"" Dudek",59326,United States,Short Track Speed Skating,2010,1,Winter
Amanda Kessel,116428,United States,Ice Hockey,2014,1,Winter
Amanda Overland,179453,Canada,Short Track Speed Skating,2006,1,Winter
Ambrosi Hoffmann,97037,Switzerland,Alpine Skiing,2006,1,Winter
Amelie Kober,122019,Germany,Snowboarding,2006,2,Winter
Amlie Goulet-Nadon,82826,Canada,Short Track Speed Skating,2002,1,Winter
Amy Eileen Peterson (-Peck),186812,United States,Short Track Speed Skating,1992,3,Winter
Amy Joy Williams,260892,Great Britain,Skeleton,2010,1,Winter
Amy Nixon (-Westlund),172335,Canada,Curling,2006,1,Winter
An Sang-Mi,6405,South Korea,Short Track Speed Skating,1998,1,Winter
An Yulong,6433,China,Short Track Speed Skating,1998,3,Winter
Anastasia Vladimirovna Kuzmina (Shipulina-),129848,Slovakia,Biathlon,2010,3,Winter
Anatoly Anatolyevich Semyonov,216295,Soviet Union,Ice Hockey,1988,1,Winter
Anatoly Ivanovich Shelyukhin,218030,Soviet Union,Cross Country Skiing,1960,1,Winter
Anatoly Nikolayevich Alyabyev,5760,Soviet Union,Biathlon,1980,3,Winter
Anatoly Semyonovich Ionov,103335,Soviet Union,Ice Hockey,1968,1,Winter
Anatoly Vasilyevich Firsov,69619,Soviet Union,Ice Hockey,1964,3,Winter
