nom,nom_norm,ID,pays,discipline,année,médaille,saison
Aino-Kaisa Saarinen,Aino-Kaisa Saarinen,207202,Finland,Cross Country Skiing,2006,5,Winter
Ville Sakari Peltonen,Ville Peltonen,184886,Finland,Ice Hockey,1994,4,Winter
Teemu Ilmari Selnne,Teemu Selnne,215980,Finland,Ice Hockey,1998,4,Winter
Matti Antero Hautamki,Matti Hautamki,92213,Finland,Ski Jumping,2002,4,Winter
Kimmo Samuel Timonen,Kimmo Timonen,240283,Finland,Ice Hockey,1998,4,Winter
Saku Antero Koivu,Saku Koivu,122729,Finland,Ice Hockey,1994,4,Winter
Jere Kalervo Lehtinen,Jere Lehtinen,135974,Finland,Ice Hockey,1994,4,Winter
Olli Veli Pekka Jokinen,Olli Jokinen,109895,Finland,Ice Hockey,2006,3,Winter
Felix Gottwald,Felix Gottwald,82719,Austria,Nordic Combined,2002,7,Winter
Martin Hllwarth,Martin Hllwarth,97638,Austria,Ski Jumping,1992,4,Winter
Thomas Morgenstern,Thomas Morgenstern,163469,Austria,Ski Jumping,2006,4,Winter
Stephan Eberharter,Stephan Eberharter,60965,Austria,Alpine Skiing,1998,4,Winter
Gregor Schlierenzauer,Gregor Schlierenzauer,213045,Austria,Ski Jumping,2010,4,Winter
Hermann Maier,Hermann Maier,146722,Austria,Alpine Skiing,1998,4,Winter
Mario Stecher,Mario Stecher,228082,Austria,Nordic Combined,2002,4,Winter
Benjamin Raich,Benjamin Raich,195964,Austria,Alpine Skiing,2002,4,Winter
Marlies Schild (-Raich),Marlies Schild,212809,Austria,Alpine Skiing,2006,4,Winter
Alexandra Meissnitzer,Alexandra Meissnitzer,155953,Austria,Alpine Skiing,1998,3,Winter
Stefania Belmondo,Stefania Belmondo,18380,Italy,Cross Country Skiing,1992,10,Winter
Manuela Di Centa,Manuela Centa,54758,Italy,Cross Country Skiing,1992,7,Winter
Armin Zggeler,Armin Zggeler,270255,Italy,Luge,1994,6,Winter
Silvio Fauner,Silvio Fauner,67002,Italy,Cross Country Skiing,1992,5,Winter
Arianna Fontana,Arianna Fontana,71012,Italy,Short Track Speed Skating,2006,5,Winter
Marco Albarello,Marco Albarello,3969,Italy,Cross Country Skiing,1992,5,Winter
Gabriella Paruzzi,Gabriella Paruzzi,182729,Italy,Cross Country Skiing,1992,5,Winter
Pietro Piller Cottrer,Pietro Cottrer,188894,Italy,Cross Country Skiing,2002,4,Winter
Giorgio Vanzetta,Giorgio Vanzetta,249953,Italy,Cross Country Skiing,1992,4,Winter
Deborah Compagnoni,Deborah Compagnoni,43842,Italy,Alpine Skiing,1992,4,Winter
Viktor An,Viktor An,6419,South Korea,Short Track Speed Skating,2006,8,Winter
Lee Ho-Seok,Lee Ho-Seok,134996,South Korea,Short Track Speed Skating,2006,5,Winter
Park Seung-Hui,Park Seung-Hui,182244,South Korea,Short Track Speed Skating,2010,5,Winter
Jeon I-Gyeong,Jeon I-Gyeong,107781,South Korea,Short Track Speed Skating,1994,5,Winter
Choi Eun-Gyeong,Choi Eun-Gyeong,40728,South Korea,Short Track Speed Skating,2002,4,Winter
Chae Ji-Hun,Chae Ji-Hun,38039,South Korea,Short Track Speed Skating,1994,3,Winter
Won Hye-Gyeong,Won Hye-Gyeong,262603,South Korea,Short Track Speed Skating,1994,3,Winter
Shim Seok-Hui,Shim Seok-Hui,218527,South Korea,Short Track Speed Skating,2014,3,Winter
Kim Gi-Hun,Kim Gi-Hun,118360,South Korea,Short Track Speed Skating,1992,3,Winter
Jin Seon-Yu,Jin Seon-Yu,108552,South Korea,Short Track Speed Skating,2006,3,Winter
